item,yaw,pitch,notes
DM072590_LINE, 165, 0,
DM072590_PHOTO, 0, 0, 
DM077749_LINE, 180, 0, 
DM077749_PHOTO, 180, 0,
DM077915_DEFAULT, 60, 30, PERSP1
DM079853_DEFAULT, 90, -15,
DM089063_DEFAULT, 90, 0, 
DM090050_DEFAULT, 15, 30, chanel 
DM091457_DEFAULT, 180, 0,
DM091857_DEFAULT, 90, 0, 
DM093249_DEFAULT, 180, 0,
DM093448_LINE, 180, 0,
DM093448_PHOTO, 180, 0, 
DM094925_DEFAULT, 0, 0, 
DM095456_DEFAULT, 180, 0, 
DM100631_DEFAULT, 180, 0,
DM100782_DEFAULT, 180, 0, 
DM101114_DEFAULT, 180, 0, 
DM101480_DEFAULT, 90, 0, 
DM200349_DEFAULT, 180, 0,  
DM200385_DEFAULT, 180, 0, most slightly off chose closest
DM204653_DEFAULT, 180, 0, 
DM209348_DEFAULT, 30, 0, 
DM218691_DEFAULT, 180, 0,
DM223301_DEFAULT, 0, 0, 
DM238150_DEFAULT, 270, 0, 
