item,dm,style,cond_view,status
DM072590_LINE,DM072590,LINE,DM072590_BAG_LINE_PERSP1.jpg,OK
DM072590_PHOTO,DM072590,PHOTO,DM072590_BAG_PHOTO_PERSP1.jpg,OK
DM077749_LINE,DM077749,LINE,DM077749_CAR_LINE_FRONT.jpg,OK
DM077749_PHOTO,DM077749,PHOTO,DM077749_CAR_PHOTO_PERSP1.jpg,OK
DM077915_DEFAULT,DM077915,DEFAULT,DM077915_LAMP_PERSP1.jpg,OK
DM079853_DEFAULT,DM079853,DEFAULT,DM079853_LAMP_PERSP.jpg,OK
DM089063_DEFAULT,DM089063,DEFAULT,DM089063_COUCH_PERSP.jpg,OK
DM090050_DEFAULT,DM090050,DEFAULT,DM090050_JEWELLERY_PERSP1.jpg,OK
DM091457_DEFAULT,DM091457,DEFAULT,DM091457_JEWELLERY_FRONT.jpg,OK
DM091857_DEFAULT,DM091857,DEFAULT,DM091857_SHOE_PERSP.jpg,OK
DM093249_DEFAULT,DM093249,DEFAULT,DM093249_CAR_PERSP.jpg,OK
DM093448_LINE,DM093448,LINE,DM093448_SHIRT_LINE_PERSP.jpg,OK
DM093448_PHOTO,DM093448,PHOTO,DM093448_SHIRT_PHOTO_PERSP.jpg,OK
DM094925_DEFAULT,DM094925,DEFAULT,DM094925_BAG_PERSP.jpg,OK
DM095456_DEFAULT,DM095456,DEFAULT,DM095456_CONTAINER_PERSP.jpg,OK
DM100631_DEFAULT,DM100631,DEFAULT,DM100631_BAG_PERSP.jpg,OK
DM100782_DEFAULT,DM100782,DEFAULT,DM100782_CAR_PERSP1.jpg,OK
DM101114_DEFAULT,DM101114,DEFAULT,DM101114_CONTAINER_PERSP.jpg,OK
DM101480_DEFAULT,DM101480,DEFAULT,DM101480_SHOE_PERSP.jpg,OK
DM200349_DEFAULT,DM200349,DEFAULT,DM200349_CONTAINER_PERSP.jpg,OK
DM200385_DEFAULT,DM200385,DEFAULT,DM200385_BELT_PERSP.jpg,OK
DM204653_DEFAULT,DM204653,DEFAULT,DM204653_CAR_PERSP1.jpg,OK
DM209348_DEFAULT,DM209348,DEFAULT,DM209348_BELT_PERSP.jpg,OK
DM218691_DEFAULT,DM218691,DEFAULT,DM218691_CAR_PERSP.jpg,OK
DM223301_DEFAULT,DM223301,DEFAULT,DM223301_SAW_PERSP.jpg,OK
DM238150_DEFAULT,DM238150,DEFAULT,DM238150_SAW_PERSP1.jpg,OK
